producto_id,categoria_id,nombre_producto,coste_unitario,precio_unitario,fecha_lanzamiento
1,1,"Auriculares Inalámbricos con Cancelación de Ruido",48.00,129.99,2022-01-15
2,1,"Reproductor de Streaming 4K",14.00,39.99,2021-11-01
3,1,"Altavoz Bluetooth Portátil",18.00,49.99,2022-03-10
4,1,"Cargador Rápido USB-C 65W",9.00,24.99,2021-06-20
5,1,"Reloj Inteligente con Monitor de Actividad",35.00,89.99,2022-05-01
6,1,"Teclado Mecánico para Gaming",30.00,79.99,2021-09-15
7,1,"Ratón Inalámbrico Ergonómico",10.00,27.99,2021-09-15
8,1,"Monitor 27" 2K",110.00,249.99,2022-02-01
9,1,"Robot Aspirador",140.00,299.99,2022-07-01
10,1,"Cámara de Acción 4K",55.00,149.99,2021-12-01
11,1,"Batería Externa 20000mAh",12.00,34.99,2021-08-10
12,1,"Tira de LED Inteligente",8.00,22.99,2022-04-01
13,2,"Set de Ollas de Acero Inoxidable",55.00,139.99,2021-05-01
14,2,"Freidora de Aire 5,5L",40.00,99.99,2022-01-10
15,2,"Hervidor de Agua Eléctrico",12.00,29.99,2021-04-01
16,2,"Almohada Viscoelástica",9.00,24.99,2021-03-15
17,2,"Cortinas Opacas (Par)",14.00,36.99,2021-10-01
18,2,"Sartén Antiadherente 28cm",10.00,26.99,2021-06-01
19,2,"Cafetera de Goteo 12 Tazas",28.00,69.99,2022-02-15
20,2,"Set de Tablas de Cortar de Bambú",8.00,21.99,2021-07-01
21,2,"Vajilla de Cerámica (16 piezas)",32.00,84.99,2021-11-20
22,2,"Aspiradora de Mano Inalámbrica",35.00,89.99,2022-06-01
23,3,"Esterilla de Yoga Premium",8.00,22.99,2021-01-10
24,3,"Set de Mancuernas Ajustables",60.00,149.99,2021-09-01
25,3,"Botella de Agua Térmica 1L",5.00,16.99,2021-02-01
26,3,"Tienda de Campaña 4 Personas",65.00,159.99,2022-03-01
27,3,"Set de Bandas de Resistencia",6.00,17.99,2021-05-15
28,3,"Zapatillas de Running",35.00,89.99,2021-08-01
29,3,"Mochila de Senderismo Plegable 40L",25.00,64.99,2022-04-15
30,3,"Casco de Ciclismo",18.00,44.99,2021-06-15
31,3,"Comba de Velocidad",3.00,9.99,2021-01-20
32,4,"Hábitos Atómicos (Tapa blanda)",5.00,14.99,2021-01-01
33,4,"Psicología del Dinero",5.00,13.99,2021-02-01
34,4,"SQL para Análisis de Datos (Guía)",6.00,19.99,2021-06-01
35,4,"Novela de Fantasía Moderna Vol. 1",4.00,12.99,2021-04-01
36,4,"Set de Cuentos Ilustrados Infantiles",7.00,18.99,2021-09-01
37,4,"Historia Universal Ilustrada",8.00,22.99,2021-11-01
38,5,"Sérum de Vitamina C 30ml",4.00,18.99,2021-03-01
39,5,"Cepillo de Dientes Eléctrico",14.00,39.99,2021-07-01
40,5,"Secador de Pelo Iónico",20.00,49.99,2021-10-01
41,5,"Crema Facial Hidratante",5.00,17.99,2021-05-01
42,5,"Kit de Arreglo de Barba",9.00,24.99,2022-01-01
43,5,"Afeitadora Eléctrica",18.00,44.99,2021-12-15
44,6,"Set de Bloques de Construcción 500pz",14.00,34.99,2021-04-01
45,6,"Coche Teledirigido",16.00,39.99,2021-10-15
46,6,"Juego de Mesa Estrategia Clásico",10.00,27.99,2021-08-01
47,6,"Puzzle 1000 Piezas Paisaje",5.00,14.99,2021-06-01
48,6,"Peluche Oso Grande",6.00,17.99,2021-02-15
49,7,"Vaqueros Ajustados de Hombre",15.00,44.99,2021-03-01
50,7,"Vestido Floral de Verano de Mujer",12.00,39.99,2021-05-01
51,7,"Sudadera Unisex de Algodón",10.00,32.99,2021-09-01
52,7,"Cartera de Piel",7.00,24.99,2021-11-01
53,7,"Gafas de Sol Polarizadas",6.00,22.99,2021-06-15
54,7,"Chaqueta de Plumas de Invierno",28.00,79.99,2021-10-01
55,8,"Café en Grano Ecológico 1kg",7.00,16.99,2021-01-05
56,8,"Aceite de Oliva Virgen Extra 1L",6.00,15.99,2021-01-05
57,8,"Proteína en Polvo Chocolate 1kg",18.00,39.99,2021-07-15
58,8,"Pack de Frutos Secos Variados 500g",5.00,12.99,2021-02-10
59,8,"Bolsitas de Té Verde (100u)",3.00,9.99,2021-03-05
60,9,"Silla de Oficina Ergonómica",70.00,179.99,2021-08-15
61,9,"Elevador de Escritorio Convertible",55.00,139.99,2022-01-05
62,9,"Set de Libretas A5 (3 uds)",3.00,9.99,2021-01-15
63,9,"Mando Presentador Inalámbrico",6.00,17.99,2021-05-10
64,9,"Organizador de Escritorio de Bambú",8.00,21.99,2021-06-05
65,10,"Juguete Masticable para Perro",3.00,9.99,2021-02-20
66,10,"Rascador para Gatos",14.00,34.99,2021-04-10
67,10,"Cepillo de Aseo para Mascotas",4.00,12.99,2021-05-20
68,10,"Comedero Automático para Mascotas",22.00,54.99,2021-11-05
69,10,"Correa Reflectante para Perro",5.00,14.99,2021-03-20
